id,smiles,HOMO_Boltz,HOMO_Vbur_min,HOMO_low_E,HOMO_max,HOMO_min,LUMO_Boltz,LUMO_Vbur_min,LUMO_low_E,LUMO_max,LUMO_min,SASA_sphericity_Boltz,SASA_sphericity_Vbur_min,SASA_sphericity_low_E,SASA_sphericity_max,SASA_sphericity_min,SASA_surface_area(Å²)_Boltz,SASA_surface_area(Å²)_Vbur_min,SASA_surface_area(Å²)_low_E,SASA_surface_area(Å²)_max,SASA_surface_area(Å²)_min,SASA_volume(Å³)_Boltz,SASA_volume(Å³)_Vbur_min,SASA_volume(Å³)_low_E,SASA_volume(Å³)_max,SASA_volume(Å³)_min,dipole(Debye)_Boltz,dipole(Debye)_Vbur_min,dipole(Debye)_low_E,dipole(Debye)_max,dipole(Debye)_min,polar_aniso(Debye)_Boltz,polar_aniso(Debye)_Vbur_min,polar_aniso(Debye)_low_E,polar_aniso(Debye)_max,polar_aniso(Debye)_min,polar_iso(Debye)_Boltz,polar_iso(Debye)_Vbur_min,polar_iso(Debye)_low_E,polar_iso(Debye)_max,polar_iso(Debye)_min,volume(Bohr_radius³/mol)_Boltz,volume(Bohr_radius³/mol)_Vbur_min,volume(Bohr_radius³/mol)_low_E,volume(Bohr_radius³/mol)_max,volume(Bohr_radius³/mol)_min,η_Boltz,η_Vbur_min,η_low_E,η_max,η_min,μ_Boltz,μ_Vbur_min,μ_low_E,μ_max,μ_min,ω_Boltz,ω_Vbur_min,ω_low_E,ω_max,ω_min
pyrmd1,NC1=NC(C)=C(C(OCC)=O)C=N1,-0.2926625749837412,-0.29283,-0.29266,-0.29225,-0.29283,-0.01189984296255111,-0.01226,-0.01175,-0.01175,-0.01226,0.8667558188749545,0.8694238040966833,0.8642710651078981,0.875555293132332,0.8642710651078981,374.4760776281744,372.0598993322511,376.2197671338326,376.2197671338326,369.92954947513,549.8435789405432,547.0668505608598,551.3294467543437,551.3294467543437,546.9159321256336,1.683278937270791,1.448,1.6334,2.6096,1.448,87.21571058230731,86.5743,86.93,91.0242,86.5743,125.6067765613542,125.417,125.726,125.726,125.207,1519.215804880758,1414.52,1553.142,1685.603,1304.515,0.2807627320211902,0.28057,0.28091,0.28091,0.28008,-0.1522812089731462,-0.152545,-0.152205,-0.152015,-0.152545,0.04129515223402303,0.04147,0.04123,0.04147,0.0412
pyrmd2,ClC1=CC(Cl)=NC(CC2=CC=CC=C2)=N1,-0.30477,-0.30477,-0.30477,-0.30477,-0.30477,-0.0314,-0.0314,-0.0314,-0.0314,-0.0314,0.8465777597593028,0.8468777226911464,0.8462777968274593,0.8468777226911464,0.8462777968274593,422.0919496778155,421.8319469880212,422.3519523676097,422.3519523676097,421.8319469880212,635.1620892425856,634.9127927439674,635.4113857412038,635.4113857412038,634.9127927439674,0.2811,0.2811,0.2811,0.2811,0.2811,65.55170000000001,65.5485,65.5549,65.5549,65.5485,160.861,160.861,160.861,160.861,160.861,1811.6695,1811.602,1811.737,1811.737,1811.602,0.27337,0.27337,0.27337,0.27337,0.27337,-0.168085,-0.168085,-0.168085,-0.168085,-0.168085,0.05167,0.05167,0.05167,0.05167,0.05167
pyrmd3,ClC1=NC=C(CC)C=N1,-0.3251834148211471,-0.32445,-0.32559,-0.32445,-0.32559,-0.02689181014078487,-0.02639,-0.02717,-0.02639,-0.02717,0.9023686425488604,0.9033265075408377,0.9018376283153726,0.9033265075408377,0.9018376283153726,306.403009230532,305.0905875790386,307.130580008374,307.130580008374,305.0905875790386,432.3033906959799,430.2136235362464,433.4619006277429,433.4619006277429,430.2136235362464,4.704279653603328,4.7874,4.6582,4.7874,4.6582,65.07795817749937,66.5702,64.2507,66.5702,64.2507,93.97685233555063,93.7953,94.0775,94.0775,93.7953,1141.693115094525,1192.08,1113.76,1192.08,1113.76,0.2982916046803623,0.29806,0.29842,0.29842,0.29806,-0.176037612480966,-0.17542,-0.17638,-0.17542,-0.17638,0.05194167316716979,0.05162,0.05212,0.05212,0.05162
pyrmd4,ClC1=NC(C#N)=NC(C)=C1,-0.35781,-0.35781,-0.35781,-0.35781,-0.35781,-0.06031,-0.06031,-0.06031,-0.06031,-0.06031,0.8881427352266783,0.8881427352266783,0.8881427352266783,0.8881427352266783,0.8881427352266783,316.7905648217679,316.7905648217679,316.7905648217679,316.7905648217679,316.7905648217679,443.7683474914424,443.7683474914424,443.7683474914424,443.7683474914424,443.7683474914424,6.1559,6.1559,6.1559,6.1559,6.1559,67.1022,67.1022,67.1022,67.1022,67.1022,99.2002,99.2002,99.2002,99.2002,99.2002,1157.94,1157.94,1157.94,1157.94,1157.94,0.2975,0.2975,0.2975,0.2975,0.2975,-0.20906,-0.20906,-0.20906,-0.20906,-0.20906,0.07346,0.07346,0.07346,0.07346,0.07346
pyrmd5,O=CC(C=N1)=C(C)N=C1C2=CC=CC=C2,-0.3003980611473174,-0.30057,-0.30057,-0.29946,-0.30057,-0.06427219172394585,-0.06395,-0.06395,-0.06395,-0.06603,0.8660672284745768,0.8665655093292124,0.8665655093292124,0.8665655093292124,0.8633487160331301,394.3045017113713,393.8615436015079,393.8615436015079,396.7211852373393,393.8615436015079,593.3989743409982,592.9134201387772,592.9134201387772,596.0480529227942,592.9134201387772,1.973273309311588,1.7974,1.7974,2.9328,1.7974,155.979318289326,156.317,156.317,156.317,154.137,164.7535574363648,164.796,164.796,164.796,164.522,1740.490433844532,1691.056,1691.056,2010.194,1691.056,0.2361258694233715,0.23662,0.23662,0.23662,0.23343,-0.1823351264356316,-0.18226,-0.18226,-0.18226,-0.182745,0.07039756582215742,0.07019,0.07019,0.07153,0.07019
pyrmd6,CC1=CN=C(Cl)N=C1,-0.32635,-0.32635,-0.32635,-0.32635,-0.32635,-0.02812,-0.02812,-0.02812,-0.02812,-0.02812,0.915435844116355,0.915435844116355,0.915435844116355,0.915435844116355,0.915435844116355,278.9606958285786,278.9606958285786,278.9606958285786,278.9606958285786,278.9606958285786,383.7339372974632,383.7339372974632,383.7339372974632,383.7339372974632,383.7339372974632,4.5537,4.5537,4.5537,4.5537,4.5537,60.5931,60.5931,60.5931,60.5931,60.5931,81.6478,81.6478,81.6478,81.6478,81.6478,1080.688,1080.688,1080.688,1080.688,1080.688,0.29823,0.29823,0.29823,0.29823,0.29823,-0.177235,-0.177235,-0.177235,-0.177235,-0.177235,0.05266,0.05266,0.05266,0.05266,0.05266
pyrmd7,ClC1=NC=C(C)C(OC)=N1,-0.31123,-0.31123,-0.31123,-0.31123,-0.31123,-0.00862,-0.00862,-0.00862,-0.00862,-0.00862,0.8910149903261232,0.8910149903261232,0.8910149903261232,0.8910149903261232,0.8910149903261232,322.4605885941127,322.4605885941127,322.4605885941127,322.4605885941127,322.4605885941127,457.9481329626105,457.9481329626105,457.9481329626105,457.9481329626105,457.9481329626105,3.8495,3.8495,3.8495,3.8495,3.8495,61.5001,61.5001,61.5001,61.5001,61.5001,99.4464,99.4464,99.4464,99.4464,99.4464,1243.71,1243.71,1243.71,1243.71,1243.71,0.30261,0.30261,0.30261,0.30261,0.30261,-0.159925,-0.159925,-0.159925,-0.159925,-0.159925,0.04226,0.04226,0.04226,0.04226,0.04226
pyrz1,ClC1=C(C)N=C(C(OC)=O)C=N1,-0.3280907430635211,-0.32878,-0.3279,-0.3279,-0.32878,-0.05118797916449426,-0.051,-0.05124,-0.051,-0.05124,0.8750780231712223,0.8751458432125653,0.8750592548400393,0.8751458432125653,0.8750592548400393,355.8942028275379,355.8393696648746,355.9093772057348,355.9093772057348,355.8393696648746,516.8033827576421,516.7440195736001,516.8198107614608,516.8198107614608,516.7440195736001,2.296050239423071,1.2306,2.5909,2.5909,1.2306,87.49131717836784,88.9545,87.0864,88.9545,87.0864,116.0727789943409,116.184,116.042,116.184,116.042,1377.013253746932,1378.25,1376.671,1378.25,1376.671,0.2769027638990268,0.27778,0.27666,0.27778,0.27666,-0.1896393611140077,-0.18989,-0.18957,-0.18957,-0.18989,0.0649391623259363,0.0649,0.06495,0.06495,0.0649
pyrz2,ClC1=C(C)N=C(C(OC)=O)C(N)=N1,-0.2818345532937358,-0.28333,-0.28183,-0.28183,-0.28333,-0.04489571990388838,-0.04349,-0.0449,-0.04349,-0.0449,0.8702147479223847,0.8709712438716889,0.8702124445649647,0.8709712438716889,0.8702124445649647,369.7994531436545,369.8592190630688,369.7992711700774,369.8592190630688,369.7992711700774,542.8287856291615,543.6685497117172,542.8262287392901,543.6685497117172,542.8262287392901,1.38916381441583,3.4464,1.3829,3.4464,1.3829,98.46401612221295,100.21,98.4587,100.21,98.4587,130.2345156262421,129.747,130.236,130.236,129.747,1561.157855694738,1500.679,1561.342,1561.342,1500.679,0.2369388333898474,0.23984,0.23693,0.23984,0.23693,-0.1633651365988121,-0.16341,-0.163365,-0.163365,-0.16341,0.05631802690604783,0.05567,0.05632,0.05632,0.05567
pyrz3,CC1=NC=C(C(OC)=O)N=C1,-0.3237152210283321,-0.32533,-0.32334,-0.32334,-0.32533,-0.04283925913913743,-0.04275,-0.04286,-0.04275,-0.04286,0.8835595507320181,0.8835090055130198,0.8835712957629992,0.8835712957629992,0.8835090055130198,332.985436046886,333.1396131397626,332.9496104086101,333.1396131397626,332.9496104086101,474.5318996306761,474.8207610302745,474.4647778305385,474.8207610302745,474.4647778305385,2.177792688690063,2.2492,2.1612,2.2492,2.1612,74.59025644973042,75.0045,74.494,75.0045,74.494,102.114360254072,102.103,102.117,102.117,102.103,1099.579368939261,1163.566,1084.711,1163.566,1084.711,0.2808759618891947,0.28258,0.28048,0.28258,0.28048,-0.1832772400837347,-0.18404,-0.1831,-0.1831,-0.18404,0.05979205405769672,0.05993,0.05976,0.05993,0.05976
pyrd1,BrC1=C2C(OCCC2)=CN=C1,-0.29088,-0.29088,-0.29088,-0.29088,-0.29088,-0.00553,-0.00553,-0.00553,-0.00553,-0.00553,0.9087150198158868,0.9087150198158868,0.9087150198158868,0.9087150198158868,0.9087150198158868,326.8314392039673,326.8314392039673,326.8314392039673,326.8314392039673,326.8314392039673,481.2836546552945,481.2836546552945,481.2836546552945,481.2836546552945,481.2836546552945,3.8433,3.8433,3.8433,3.8433,3.8433,67.302,67.302,67.302,67.302,67.302,117.962,117.962,117.962,117.962,117.962,1346.178,1346.178,1346.178,1346.178,1346.178,0.28535,0.28535,0.28535,0.28535,0.28535,-0.148205,-0.148205,-0.148205,-0.148205,-0.148205,0.03849,0.03849,0.03849,0.03849,0.03849
pyrd2,ClC1=NC=CC=C1C,-0.31,-0.31,-0.31,-0.31,-0.31,-0.00748,-0.00748,-0.00748,-0.00748,-0.00748,0.9245891745300988,0.9245891745300988,0.9245891745300988,0.9245891745300988,0.9245891745300988,278.9812574058412,278.9812574058412,278.9812574058412,278.9812574058412,278.9812574058412,389.5467278431886,389.5467278431886,389.5467278431886,389.5467278431886,389.5467278431886,3.4509,3.4509,3.4509,3.4509,3.4509,54.8962,54.8962,54.8962,54.8962,54.8962,85.9969,85.9969,85.9969,85.9969,85.9969,1023.632,1023.632,1023.632,1023.632,1023.632,0.30252,0.30252,0.30252,0.30252,0.30252,-0.15874,-0.15874,-0.15874,-0.15874,-0.15874,0.04165,0.04165,0.04165,0.04165,0.04165
pyrd3,BrC1=CC(C)=NC=C1,-0.32162,-0.32162,-0.32162,-0.32162,-0.32162,-0.01138,-0.01138,-0.01138,-0.01138,-0.01138,0.9115149620242635,0.9115149620242635,0.9115149620242635,0.9115149620242635,0.9115149620242635,291.3126563185526,291.3126563185526,291.3126563185526,291.3126563185526,291.3126563185526,406.8726952953482,406.8726952953482,406.8726952953482,406.8726952953482,406.8726952953482,0.418,0.418,0.418,0.418,0.418,61.9619,61.9619,61.9619,61.9619,61.9619,94.6394,94.6394,94.6394,94.6394,94.6394,925.255,925.255,925.255,925.255,925.255,0.31024,0.31024,0.31024,0.31024,0.31024,-0.1665,-0.1665,-0.1665,-0.1665,-0.1665,0.04468,0.04468,0.04468,0.04468,0.04468
pyrd4,O=C(NC1=NC=CC(C2CC2)=C1)C3=CC=C(B4OC(C)(C)C(C)(C)O4)C=C3,-0.2836795436479444,-0.28364,-0.28364,-0.28364,-0.28569,-0.03260647960743385,-0.03263,-0.03263,-0.02888,-0.03263,0.7722493892644268,0.7730539872740929,0.7730539872740929,0.7730539872740929,0.7676029964757396,647.1347894345519,646.382422790416,646.382422790416,654.1221842190431,646.382422790416,1050.512597874372,1050.322954953765,1050.322954953765,1057.954823022715,1050.254140399703,2.578641600012759,2.6225,2.6225,5.952,2.5126,205.8834197300483,196.651,196.651,219.328,171.67,290.9778304500717,290.038,290.038,292.458,288.243,2996.308758202675,3039.519,3039.519,3680.16,2711.159,0.2510730640405105,0.25101,0.25101,0.25681,0.25101,-0.1581430116276891,-0.158135,-0.158135,-0.15712,-0.158165,0.04980319159940973,0.04981,0.04981,0.04981,0.04817
pyrd5,ClC1=NC(C(F)(F)F)=CC(C)=C1,-0.33403,-0.33403,-0.33403,-0.33403,-0.33403,-0.03023,-0.03023,-0.03023,-0.03023,-0.03023,0.883436746219546,0.883436746219546,0.883436746219546,0.883436746219546,0.883436746219546,341.9685966525224,341.9685966525224,341.9685966525224,341.9685966525224,341.9685966525224,493.7604974470327,493.7604974470327,493.7604974470327,493.7604974470327,493.7604974470327,5.188,5.188,5.188,5.188,5.188,57.528,57.528,57.528,57.528,57.528,100.126,100.126,100.126,100.126,100.126,1134.727,1134.727,1134.727,1134.727,1134.727,0.3038,0.3038,0.3038,0.3038,0.3038,-0.18213,-0.18213,-0.18213,-0.18213,-0.18213,0.05459,0.05459,0.05459,0.05459,0.05459
pyrd6,BrC1=CC(C)=CC(NC(OC(C)(C)C)=O)=N1,-0.2887162830738325,-0.29521,-0.2887,-0.2887,-0.29521,-0.004725328437549732,-0.01204,-0.00468,-0.00468,-0.01204,0.8272507772861732,0.86317924429158,0.8270150061324961,0.86317924429158,0.8270150061324961,466.3052087322322,438.5015145947254,466.4722303869672,466.4722303869672,438.5015145947254,712.4112167840101,692.4396740678932,712.4962621118531,712.4962621118531,692.4396740678932,2.684179888159378,3.9067,2.6449,5.2279,2.6449,106.1693522808578,87.2335,106.154,107.166,87.2335,177.3266412008255,173.275,177.34,177.34,173.275,2032.625256160213,1911.366,2041.797,2041.797,1438.653,0.2839909546362827,0.28317,0.28402,0.28402,0.28211,-0.1467208057556911,-0.153625,-0.14669,-0.14669,-0.153625,0.03790007938586487,0.04167,0.03788,0.04167,0.03788
pyrd7,FC(F)(C1=CC(C(F)(F)F)=CC(C2=CN=CC(C)=C2)=C1)F,-0.3108056807437556,-0.31069,-0.31069,-0.31069,-0.31093,-0.04340784037187778,-0.04335,-0.04335,-0.04335,-0.04347,0.8275278264745887,0.8275961001641098,0.8275961001641098,0.8275961001641098,0.8274544544160526,479.4731839094748,479.4972887114395,479.4972887114395,479.4972887114395,479.4472790703903,743.1803410645978,743.3283559105828,743.3283559105828,743.3283559105828,743.02127314224,3.452359624172056,3.4486,3.4486,3.4564,3.4486,112.4608826031445,112.056,112.056,112.896,112.056,172.3973740216929,172.394,172.394,172.401,172.394,2131.760205600684,1896.963,1896.963,2384.091,1896.963,0.2673978403718777,0.26734,0.26734,0.26746,0.26734,-0.1771067605578167,-0.17702,-0.17702,-0.17702,-0.1772,0.05865338027890834,0.05861,0.05861,0.0587,0.05861
pyrd8,BrC1=NC(C2=CN=CS2)=CC(C)=C1,-0.2881503600934873,-0.28849,-0.28849,-0.28781,-0.28849,-0.04342981995325635,-0.04326,-0.04326,-0.04326,-0.0436,0.8653512966341965,0.8656787459279333,0.8656787459279333,0.8656787459279333,0.8650231530029816,386.8878797396976,386.74303014612,386.74303014612,387.0330364785445,386.74303014612,576.023339588581,576.026799095023,576.026799095023,576.026799095023,576.0198727464538,4.010589219093927,4.8493,4.8493,4.8493,3.1701,120.5424867612688,120.53,120.53,120.555,120.53,160.4914571065111,160.451,160.451,160.532,160.451,1860.141756409337,1862.27,1862.27,1862.27,1858.009,0.244720540140231,0.24523,0.24523,0.24523,0.24421,-0.1657900900233718,-0.165875,-0.165875,-0.165705,-0.165875,0.05615993645409048,0.0561,0.0561,0.05622,0.0561
pyrd9,CC1=NC(Cl)=CC2=C1C=NN2,-0.2928,-0.2928,-0.2928,-0.2928,-0.2928,-0.02545,-0.02545,-0.02545,-0.02545,-0.02545,0.8990384203408124,0.8990384203408124,0.8990384203408124,0.8990384203408124,0.8990384203408124,322.6407843733653,322.6407843733653,322.6407843733653,322.6407843733653,322.6407843733653,464.5367615644638,464.5367615644638,464.5367615644638,464.5367615644638,464.5367615644638,2.2799,2.2799,2.2799,2.2799,2.2799,79.9254,79.9254,79.9254,79.9254,79.9254,112.386,112.386,112.386,112.386,112.386,1164.493,1164.493,1164.493,1164.493,1164.493,0.26735,0.26735,0.26735,0.26735,0.26735,-0.159125,-0.159125,-0.159125,-0.159125,-0.159125,0.04736,0.04736,0.04736,0.04736,0.04736
pyrd10,BrCCCC1=CN=CC=C1,-0.3129657884612281,-0.31568,-0.3121,-0.30007,-0.31572,-0.003239157972967773,-0.00515,-0.0021,0.00406,-0.00873,0.888816061142356,0.879285685933295,0.8860105514854454,0.917726936989301,0.8780138022572573,343.8551494873594,349.0125079906796,345.8524445293194,351.1524856730791,326.0719076623682,502.3048421043628,505.5106451857053,504.3922774794583,509.1227173099002,486.7591326509519,2.08544131792393,3.7713,1.1393,3.9559,1.1393,58.97099578259191,77.3913,62.9607,77.3913,40.264,116.5431449562385,117.866,116.613,118.136,112.885,1384.971163443323,1428.498,1325.273,1579.731,1259.341,0.3097266304882604,0.31053,0.31,0.31096,0.30114,-0.158102473217098,-0.160415,-0.1571,-0.148095,-0.162225,0.04036129664400825,0.04143,0.03981,0.04286,0.03604
pyrd11,ClC1=C(C)C(C(OC)=O)=NC=C1,-0.3269908746237514,-0.32693,-0.32693,-0.32693,-0.32814,-0.03300349838023858,-0.03341,-0.03341,-0.02533,-0.03341,0.8847966214989647,0.8847792477657875,0.8847792477657875,0.8851245840627352,0.8847792477657875,352.8691695039458,352.8299489680342,352.8299489680342,353.6095324057382,352.8299489680342,518.7518388188552,518.6499828063448,518.6499828063448,520.6745665744646,518.6499828063448,1.224429579175405,1.153,1.153,2.5728,1.153,73.38018173989845,73.7837,73.7837,73.7837,65.763,117.7200108276167,117.767,117.767,117.767,116.833,1492.062617758913,1504.58,1504.58,1504.58,1255.773,0.2939873762435128,0.29352,0.29352,0.30281,0.29352,-0.179997186501995,-0.18017,-0.18017,-0.176735,-0.18017,0.05511284826416924,0.0553,0.0553,0.0553,0.05158
pyrd12,COC1=C(CCC(N2)=O)C2=NC=C1,-0.28653,-0.28653,-0.28653,-0.28653,-0.28653,0.00312,0.00312,0.00312,0.00312,0.00312,0.886399777908327,0.886399777908327,0.886399777908327,0.886399777908327,0.886399777908327,353.7089513527407,353.7089513527407,353.7089513527407,353.7089513527407,353.7089513527407,522.0202462238508,522.0202462238508,522.0202462238508,522.0202462238508,522.0202462238508,6.0091,6.0091,6.0091,6.0091,6.0091,81.7545,81.7545,81.7545,81.7545,81.7545,123.612,123.612,123.612,123.612,123.612,1263.49,1263.49,1263.49,1263.49,1263.49,0.28965,0.28965,0.28965,0.28965,0.28965,-0.141705,-0.141705,-0.141705,-0.141705,-0.141705,0.03466,0.03466,0.03466,0.03466,0.03466
pyrd13,O=CC1=CC=C(CCCN2)C2=N1,-0.26582,-0.26582,-0.26582,-0.26582,-0.26582,-0.03406,-0.03406,-0.03406,-0.03406,-0.03406,0.8908979139024035,0.8908979139024035,0.8908979139024035,0.8908979139024035,0.8908979139024035,341.8895053651892,341.8895053651892,341.8895053651892,341.8895053651892,341.8895053651892,499.8553918620761,499.8553918620761,499.8553918620761,499.8553918620761,499.8553918620761,5.7747,5.7747,5.7747,5.7747,5.7747,86.3837,86.3837,86.3837,86.3837,86.3837,121.596,121.596,121.596,121.596,121.596,1467.516,1467.516,1467.516,1467.516,1467.516,0.23176,0.23176,0.23176,0.23176,0.23176,-0.14994,-0.14994,-0.14994,-0.14994,-0.14994,0.0485,0.0485,0.0485,0.0485,0.0485
pyrdz1,CC(C)C1=NN=C(C2=CC=C(I)C=C2F)C=C1,-0.2879924400486366,-0.28805,-0.28789,-0.28789,-0.29077,-0.03824198860531138,-0.03885,-0.03793,-0.0304,-0.03885,0.8327947670174461,0.8337869665741744,0.8320987908835645,0.8337869665741744,0.828845653746534,467.2829437512722,466.3133599284477,467.9435461884565,472.0133042910861,466.3133599284477,721.8540776835063,720.8970590326221,722.480853908772,727.6385000162412,720.8970590326221,2.865261313930985,2.9527,2.7605,4.7294,2.7605,207.8454659898833,210.665,205.946,210.665,193.223,201.0268561431701,201.175,200.979,201.175,197.83,2321.592532216,2016.375,2558.739,2558.739,2014.878,0.2497504514433252,0.2492,0.24996,0.2603,0.2492,-0.163117214326974,-0.16345,-0.16291,-0.16055,-0.16345,0.05326978245965016,0.0536,0.05309,0.0536,0.04951
